"Col0","apoapo_rep1","apoapo_rep2","apoapo_rep3","apoapo_rep4","apoapo_rep5","aposym_rep1","aposym_rep2","aposym_rep3","aposym_rep4","aposym_rep5","symsym_rep1","symsym_rep2","symsym_rep3","symsym_rep4","symsym_rep5","symsym_rep6","apona_rep1","apona_rep2","apona_rep3","nana_rep1","nana_rep2","nana_rep3"
"XM_021059483.1",0,0,23,1670,548,2137,162.86377,1033,659,2068.85515,11,0,0,6929,8876.643114,0,0,2765,1087,1610,622.386156,455.500451
"XM_021060358.1",0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
"XM_021053710.1",0,0,3.480968,0,5.233626,256.738288,93.473021,4.477354,19.055152,199.129232,0,0,6.452559,193.664569,232.317052,0,0,0,70.542921,678.911066,0,1537.298889
"XM_021037158.1",0,0,0,0,0,0,805,52,0,0,0,0,0,0,0,0,0,0,334,0,0,1
"XM_021060731.1",1.345615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021057374.1",0,18.192632,18.489858,0,0,243.177628,265.630605,106.296675,0,0,0,0,8.914618,0,0,0,0,0,0,791.866731,2.695793,0
"XM_021051571.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021048741.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021051548.1",652.787858,0,29.700349,1.800644,0,0,1023.003259,366.183429,598.707178,6.722234,0,0,69.093714,0.676522,2.765698,3.700104,0,798.630058,6.466642,1265.921019,3122.818654,7.098592
"XM_021058766.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0
"XM_021057964.1",158,0,4,0,839,6,0,272,203,1738,0,0,0,0,0,0,0,0,968,766,0,0
"XM_021049586.1",0,0,0,0,0,0,0,22.325596,0,1109,0,0,0,0,0,1.001023,0,0,0,1626.82777,2487,0
"XM_021053931.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.367594,314.551119,0,0
"XM_021049016.1",5.406941,20.078496,0,0,2.742521,1252,5.022793,1.069035,0,3.069599,0,0,0,0,0,0,0,0,7.067187,0,3919.052185,7.450797
