"Repeat(Date)","Algae","Well_ID","Larvae","Number of Symbionts","Time_post_infection"
"V","M. gaditana","MV1",31,2,"1"
"V","M. gaditana","MV1",32,1,"1"
"V","M. gaditana","MV1",33,1,"1"
"V","M. gaditana","MV1",34,5,"1"
"V","M. gaditana","MV1",35,4,"1"
"V","M. gaditana","MV1",36,4,"1"
"V","M. gaditana","MV1",37,0,"1"
"V","M. gaditana","MV1",38,1,"1"
"V","M. gaditana","MV1",39,3,"1"
"V","M. gaditana","MV1",40,2,"1"
"V","M. gaditana","MV1",41,1,"1"
"V","M. gaditana","MV1",42,0,"1"
"V","M. gaditana","MV1",43,1,"1"
"V","M. gaditana","MV1",44,0,"1"
"V","M. gaditana","MV1",45,2,"1"
"V","M. gaditana","MV1",46,2,"1"
"V","M. gaditana","MV1",47,2,"1"
"V","M. gaditana","MV1",48,1,"1"
"V","M. gaditana","MV1",49,1,"1"
"V","M. gaditana","MV1",50,1,"1"
"I","N. oculata","NI1",1,0,"1"
"I","N. oculata","NI1",2,2,"1"
"I","N. oculata","NI1",3,0,"1"
"I","N. oculata","NI1",4,2,"1"
"I","N. oculata","NI1",5,0,"1"
"I","N. oculata","NI1",6,0,"1"
"I","N. oculata","NI1",7,0,"1"
"I","N. oculata","NI1",8,0,"1"
"I","N. oculata","NI1",9,0,"1"
"I","N. oculata","NI1",10,0,"1"
"I","N. oculata","NI1",11,2,"1"
"I","N. oculata","NI1",12,0,"1"
"I","N. oculata","NI1",13,0,"1"
"I","N. oculata","NI1",14,2,"1"
"I","N. oculata","NI1",15,0,"1"
"I","N. oculata","NI1",16,0,"1"
"I","N. oculata","NI1",17,0,"1"
"I","N. oculata","NI1",18,0,"1"
"I","N. oculata","NI1",19,1,"1"
"I","N. oculata","NI1",20,1,"1"
"I","N. oculata","NI1",21,2,"1"
"I","N. oculata","NI1",22,0,"1"
"I","N. oculata","NI1",23,0,"1"
"I","N. oculata","NI1",24,2,"1"
"I","N. oculata","NI1",25,0,"1"
"I","N. oculata","NI1",26,0,"1"
"I","N. oculata","NI1",27,0,"1"
"I","N. oculata","NI1",28,0,"1"
"I","N. oculata","NI1",29,0,"1"
"I","N. oculata","NI1",30,1,"1"
"I","N. oculata","NI1",31,0,"1"
"I","N. oculata","NI1",32,3,"1"
"I","N. oculata","NI1",33,0,"1"
"I","N. oculata","NI1",34,0,"1"
"I","N. oculata","NI1",35,2,"1"
"I","N. oculata","NI1",36,0,"1"
"I","N. oculata","NI1",37,1,"1"
"I","N. oculata","NI1",38,2,"1"
"I","N. oculata","NI1",39,0,"1"
"I","N. oculata","NI1",40,3,"1"
"I","N. oculata","NI1",41,0,"1"
"I","N. oculata","NI1",42,2,"1"
"I","N. oculata","NI1",43,0,"1"
"I","N. oculata","NI1",44,0,"1"
"I","N. oculata","NI1",45,0,"1"
"I","N. oculata","NI1",46,0,"1"
"I","N. oculata","NI1",47,0,"1"
"I","N. oculata","NI1",48,1,"1"
